序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
925,HK1082,香港教育国际,香港教育(国际)投资集团有限公司,百慕达,10902.70,-823.20,203,2011-07-04,--,,教育,提供私人教育服务、投资证券、物业投资及借贷业务。
926,HK1083,港华燃气,港华燃气有限公司,开曼群岛,558418.40,74678.40,21948,2001-04-20,--,,燃气,销售及经销管道燃气，包括提供管道燃气、燃气管网建设、经营城市管道气网、经营燃气汽车加气站、以及销售气体相关用具。
927,HK1085,亨鑫科技,亨鑫科技有限公司,新加坡,81400.90,7109.40,927,2010-12-23,--,,通信设备,研究、设计、开发及制造电信及技术产品；生产移动通信射频同轴电缆及移动通信系统交换设备。
928,HK1086,好孩子国际,好孩子国际控股有限公司,开曼群岛,442570.20,13418.90,12708,2010-11-24,--,,家具家居,婴儿推车、儿童汽车安全座、婴儿床、自行车、三轮车及其他儿童耐用品的设计、研发、生产、营销及销售。
929,HK1087,威讯控股,威讯控股有限公司,开曼群岛,20725.40,-2496.00,257,2010-11-16,--,,通信设备,提供网络系统整合，包括提供网络基础建设解决方案、网络专业服务及办公室自动化的移动互联网软件，及买卖电信设备。
930,HK1088,中国神华,中国神华能源股份有限公司,中国北京市,12738000.00,2988700.00,89057,2005-06-15,--,,煤炭,煤炭、电力的生产和销售，铁路、港口和船舶运输，煤制烯烃等业务
931,HK1089,乐游科技控股,乐游科技控股有限公司,开曼群岛,--,--,534,2011-01-11,--,,游戏,网络游戏的开发、发行及营运方面的投资。
932,HK1090,大明国际,大明国际控股有限公司,开曼群岛,1534688.40,12008.70,4194,2010-12-01,--,,钢铁,加工、分销及销售不锈钢产品及碳钢产品。
933,HK1091,中信大锰,中信大锰控股有限公司,百慕达,326312.40,11401.90,8001,2010-11-18,--,,其他金属矿物,于中国大陆进行锰矿开采、矿石加工及下游加工业务，亦于加蓬进行锰矿开采及矿石加工业务。
934,HK1093,石药集团,石药集团有限公司,香港,1078747.20,184165.70,10749,1994-06-21,--,,药品,生产及销售制药品。
935,HK1094,中国公共采购,中国公共采购有限公司,百慕达,1237.60,-1695.30,120,2002-07-03,--,,电商及互联网,大宗商品贸易；能源管理服务(EMC)；建设及运营电子化公共采购平台；并提供采购资讯及增值服务。
936,HK1096,中能国际控股,中能国际控股集团有限公司,开曼群岛,5878.70,-7008.60,361,2011-09-28,--,,鞋类,于中国制造及销售休闲鞋履、服装及相关配饰及经营油站。
937,HK1097,有线宽频,有线宽频有限公司,香港,58746.80,-25356.30,1940,1999-11-24,--,,有线电视,提供收费电视服务、互联网及多媒体服务。
938,HK1098,路劲,路劲基建有限公司,百慕达,572166.40,115963.70,3188,1996-07-04,--,,房地产,基建合作企业发展、经营及管理收费公路，以及经营房地产发展及投资业务。
939,HK1099,国药控股,国药控股股份有限公司,中国上海市,14748619.40,402718.50,55961,2009-09-23,--,,医药商业,分销药物、医疗器械及医药制品；经营医药连锁店；及分销实验室用品、制造及分销化学试剂、生产及销售医药制品。
940,HK1100,飞达控股,飞达帽业控股有限公司,百慕达,46697.80,3690.20,5078,2000-12-13,--,,服饰配件,制造、贸易及零售帽品以及专利产品。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
941,HK1101,华荣能源,中国华荣能源股份有限公司,开曼群岛,3731.80,-118109.80,702,2010-11-19,--,,综合,造船、动力工程、海洋工程、工程机械以及能源勘探及生产的业务，专注于与石油及天然气相关的客户及市场。
942,HK1102,环能国际,环能国际控股有限公司,开曼群岛,63141.00,-1309.70,21,2003-02-18,--,,新能源,投资控股、物业投资、天然资源及能源以及资讯科技相关业务。
943,HK1103,大生农业金融,上海大生农业金融科技股份有限公司,中国上海市,250973.40,-113643.90,593,2005-07-13,--,,油气开采,路桥建设、农产品及石化产品供应链服务、农业产业链金融服务及农业大数据服务。
944,HK1104,亚太资源,亚太资源有限公司,百慕达,15612.00,32811.50,17,1998-12-29,--,,钢铁,商品贸易；及上市及非上市证券买卖及投资。
945,HK1105,星岛,星岛新闻集团有限公司,百慕达,69727.30,47.70,1693,1996-07-10,--,,出版,媒体、物业持有以及投资控股。
946,HK1106,中国海景,中国海景控股有限公司,开曼群岛,55950.60,8.00,470,2003-06-25,--,,包装印刷,制造及销售包装物料。
947,HK1107,当代置业,当代置业(中国)有限公司,开曼群岛,485905.40,36115.10,1472,2013-07-12,--,,房地产,物业发展、提供房地产代理服务、酒店经营、物业租赁、提供家庭新科技服务及移民服务，以及项目管理。
948,HK1108,洛阳玻璃股份,洛阳玻璃股份有限公司,中国河南省,70236.24,2823.99,690,1994-07-08,--,,电子元器件,光电电子和信息显示超薄玻璃。
949,HK1109,华润置地,华润置地有限公司,开曼群岛,4377811.00,1070693.70,34108,1996-11-08,--,,房地产,于中国发展销售物业、物业投资及管理、酒店经营及提供建筑、装修服务及其他物业发展相关服务。
950,HK1110,金活医药集团,金活医药集团有限公司,开曼群岛,55654.80,3219.30,986,2010-11-25,--,,医药商业,于中国及香港从事品牌进口医药及保健产品的分销及制造和销售电疗及物疗设备及一般医疗检查设备。
951,HK1111,创兴银行,创兴银行有限公司,香港,--,--,1600,1994-07-11,--,,银行,银行业及有关金融服务。
952,HK1112,H&H国际控股,健合(H&H)国际控股有限公司,开曼群岛,457357.40,38431.20,3000,2010-12-17,--,,乳制品,制造与销售高端婴幼儿营养品、婴幼儿护理用品、成人营养补充剂及护肤品。
953,HK1113,长实集团,长江实业集团有限公司,开曼群岛,1678800.00,2530900.00,20000,2015-06-03,--,,房地产,物业发展及投资、酒店及服务套房业务、物业及项目管理，以及飞机租赁。
954,HK1114,Brilliance Chi,华晨中国汽车控股有限公司,百慕达,228713.40,342427.10,7150,1999-10-22,--,,汽车制造,在中国制造及销售宝马汽车，制造及销售轻型客车及汽车零部件。
955,HK1115,西藏水资源,西藏水资源有限公司,开曼群岛,44716.50,17056.60,460,2011-06-30,--,,瓶装水,在中国生产及销售水产品及啤酒产品。
956,HK1116,Mayer Holdings,美亚控股有限公司,开曼群岛,19438.70,-298.60,250,2004-06-21,--,,钢铁,制造及买卖钢管、钢片及其他钢造产品及飞机租赁。
957,HK1117,现代牧业,中国现代牧业控股有限公司,开曼群岛,246825.00,-14301.10,6017,2010-11-26,--,,乳制品,向客户生产及销售原料奶以供加工为奶类产品；及生产及销售液态奶产品。
958,HK1118,高力集团,高力集团有限公司,百慕达,162746.60,-3769.50,1452,1994-07-15,--,,钢铁,制造与销售金属产品与建筑材料。
959,HK1120,雅视光学,雅视光学集团有限公司,百慕达,55739.80,-2254.60,5700,1996-11-08,--,,眼镜,制造及买卖配光眼镜架及太阳眼镜，以及持有物业。
960,HK1121,宝峰时尚,宝峰时尚国际控股有限公司,开曼群岛,10172.60,-5500.10,580,2011-01-28,--,,鞋类,生产及出售牌拖鞋、凉鞋及休闲鞋。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
961,HK1122,庆铃汽车股份,庆铃汽车股份有限公司,中国重庆市,257105.00,19760.90,2871,1994-08-17,--,,汽车制造,生产及销售五十铃轻型、中型、重型商用车、皮卡车、多功能车，以及柴油和汽油发动机。
962,HK1123,中港照相,中港照相器材集团有限公司,百慕达,--,--,489,1994-09-19,--,,消费电子,推广及经销摄影、冲印及印刷产品，以及销售照相商品、护肤产品、消费电子产品及家用电器；及提供技术服务。
963,HK1124,沿海家园,沿海绿色家园有限公司,百慕达,--,--,315,1997-10-16,--,,房地产,物业发展;物业投资;项目管理;项目投资服务。
964,HK1125,丽丰控股,丽丰控股有限公司,开曼群岛,--,--,1300,1997-11-28,--,,地产投资,物业发展作销售、物业投资作收租用途，及发展、经营以及投资在文化、休闲娱乐及相关设施。
965,HK1126,德林国际,德林国际有限公司,香港,139816.60,7850.40,18491,2002-02-07,--,,玩具,设计、发展、生产及销售毛绒玩具、骑乘玩具及塑胶手板模型，以及投资控股。
966,HK1127,狮子山集团,狮子山集团有限公司,百慕达,80086.10,7715.90,1222,2011-07-25,--,,包装印刷,提供印刷服务。
967,HK1128,永利澳门,永利澳门有限公司,开曼群岛,1918281.60,303107.40,11800,2009-10-09,--,,博彩,在澳门发展、拥有及营运综合娱乐场渡假村胜地。
968,HK1129,中国水业集团,中国水业集团有限公司,开曼群岛,46417.70,5345.30,1183,2002-01-17,--,,水务,在中国从事供水及提供污水处理服务；建造供水及污水处理基建设施；及开发及销售再生能源。
969,HK1130,中国环境资源,中国环境资源集团有限公司,开曼群岛,21227.60,-16058.60,40,1997-06-03,--,,综合,种植产品、环保系统及种植材料之销售及分销以及提供绿色科技服务。
970,HK1131,鸿宝资源,鸿宝资源有限公司,百慕达,--,--,732,1997-03-19,--,,煤炭,"煤炭开采、勘探、物流、销售及其他采矿相关业务,以及根据期租租赁或长期合约就原油及石油化工产品提供船舶运输、船舶储存及相关物流服务。"
971,HK1132,橙天嘉禾,橙天嘉禾娱乐(集团)有限公司,百慕达,52032.10,4830.70,1631,1994-11-23,--,,影视,在香港、中国内地、台湾与新加坡发行全球电影及影碟、经营影城、提供广告及咨询服务；以及于香港及中国内地制作电影及电视节目。
972,HK1133,哈尔滨电气,哈尔滨电气股份有限公司,中国黑龙江,1273193.63,6623.32,16278,1994-12-16,--,,环保工程,各种发电设备的生产、销售及电站工程服务。
973,HK1135,Asia Satellite,亚洲卫星控股有限公司,百慕达,73012.60,21492.70,140,1996-06-19,--,,卫星及无线通信,提供转发器容量。
974,HK1136,台泥国际集团,台泥国际集团有限公司,开曼群岛,--,--,9528,1997-10-06,--,,水泥,水泥进口及分销；水泥、熟料、混凝土及其他水泥相关产品制造及分销；生产及分销预拌混凝土。
975,HK1137,香港电视,香港电视网络有限公司,香港,38859.80,-13986.30,727,1997-08-04,--,,电商及互联网,多媒体业务，包括经营网上购物商场、通过OTT平台提供免费电视节目、多媒体及剧集制作、内容分销及其他相关服务。
976,HK1138,中远海能,中远海运能源运输股份有限公司,中国上海市,503616.60,-14662.00,3368,1994-11-11,--,,港口运输,中国沿海地区和全球的成品油及原油运输，中国沿海地区和全球的煤炭和铁矿石运输。
977,HK1139,华多利集团,华多利集团有限公司,百慕达,668.20,-600.60,7,1998-02-16,--,,汽车经销,投资控股、买卖汽车及放债。
978,HK1140,东英金融投资,东英金融投资有限公司,--,--,--,39,--,--,,--,投资于分散化全球投资组合包括上市和非上市公司。
979,HK1141,民银资本,民银资本控股有限公司,百慕达,34407.50,10040.50,45,1998-03-12,--,,证券,投资控股、证券投资、供应及采购、房地产及提供经纪、证券开展融资及相关服务。
980,HK1142,西伯利亚矿业,西伯利亚矿业集团有限公司,开曼群岛,--,--,23,2002-11-08,--,,煤炭,持有位于俄罗斯之煤矿之开采及勘探权；及进行矿产资源以及商品买卖业务。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
981,HK1143,华夏健康产业,华夏健康产业集团有限公司,开曼群岛,32739.30,-5258.20,1800,2011-01-27,--,,消费电子,"电子制造服务,营销及分销品牌中小企电话系统,组装及╱或营销与分销品牌多媒体产品和电脑配件,游戏及娱乐产品。"
982,HK1145,勇利投资,勇利投资集团有限公司,百慕达,--,--,12,2011-06-24,--,,港口运输,海运服务、物业持有及投资、投资控股，以及商品贸易。
983,HK1146,中国服饰控股,中国服饰控股有限公司,开曼群岛,44571.60,5823.80,2629,2011-12-09,--,,男装,在中国从事服装产品及配饰的设计、生产、营销及销售业务，并专注于男装。
984,HK1148,新晨动力,新晨中国动力控股有限公司,开曼群岛,155948.50,5762.00,2033,2013-03-13,--,,汽车零部件,在中国开发、制造及销售乘用车及轻型商用车辆的汽车发动机以及制造乘用车发动机零部件。
985,HK1149,中国安芯,中国安芯控股有限公司,开曼群岛,--,--,310,2003-11-24,--,,信息化服务,智能监测预警及应急救援指挥调度系统及智能安全系统之整体方案提供商、运营服务商及设备制造商。
986,HK1150,米兰站,米兰站控股有限公司,开曼群岛,14130.90,-1529.00,117,2011-05-23,--,,服饰配件,手袋、时尚配饰、装饰品及水疗及保健产品零售。
987,HK1151,依利安达,依利安达集团有限公司,新加坡,--,--,8700,2011-07-08,--,,电子元器件,生产及分销两层、多层及高精密度互连印刷线路板。
988,HK1152,新融宇集团,新融宇集团(控股)有限公司,百慕达,7010.60,-1289.90,12,2011-10-28,--,,其他金属矿物,融资租赁业务，以及金属及设备贸易。
989,HK1155,星辰通信,星辰通信国际控股有限公司,开曼群岛,--,--,1270,2007-07-05,--,,通信设备,制造和销售无线通信覆盖系统设备、生产和销售专网通信系统及产品及销售数码电视传输网络覆盖产品。
990,HK1157,中联重科,中联重科股份有限公司,中国湖南省,1470600.00,86300.00,15154,2010-12-23,--,,重型机械,混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。
991,HK1159,星光文化,星光文化娱乐集团有限公司,百慕达,1671.80,-3042.90,23,1998-03-13,--,,博彩,娱乐及博彩业务、化工产品以及节能及环保产品买卖业务。
992,HK1160,大唐投资国际,大唐投资国际有限公司,--,--,--,4,--,--,,--,投资于香港、中华人民共和国及澳门成立之上市或非上市企业。
993,HK1161,奥思集团,奥思集团有限公司,开曼群岛,--,--,752,2002-03-11,--,,美容保健,于香港、澳门、台湾、新加坡及中国从事分销护肤品以及于香港及中国经营美容院、水疗及医学美容中心。
994,HK1163,德金资源,德金资源集团有限公司,百慕达,--,--,35,1999-11-11,--,,贵金属,设照明业务（外销及中国市场）之照明产品；林地业务之木材；及采矿业务之金精矿。
995,HK1164,中广核矿业,中广核矿业有限公司,开曼群岛,17737.20,2602.00,22,2002-02-07,--,,其他金属矿物,天然铀贸易、物业投资及其他投资。
996,HK1165,顺风清洁能源,顺风国际清洁能源有限公司,开曼群岛,501036.90,-115399.90,6664,2011-07-13,--,,新能源,制造及销售太阳能电池片、太阳能组件及太阳能硅晶片以及太阳能发电业务。
997,HK1166,星凯控股,星凯控股有限公司,百慕达,39538.00,-8567.50,500,1996-12-12,--,,电子元器件,制造及买卖电缆及电线、制造及买卖铜杆、买卖冶金级铝土矿、投资物业以及持有采矿权及勘探及评估资产业务。
998,HK1168,百仕达控股,百仕达控股有限公司,百慕达,29326.60,14955.00,821,1998-06-08,--,,地产投资,房地产发展、物业管理及房地产投资。
999,HK1169,海尔电器,海尔电器集团有限公司,百慕达,4231480.10,175871.40,15267,1997-12-23,--,,家电,制造及销售洗衣机；制造及销售热水器；销售和分销家电及其他产品；提供售后及其他消费者增值服务；提供物流服务。
1000,HK1170,信星集团,信星鞋业集团有限公司,百慕达,--,--,9500,1994-09-29,--,,鞋类,制造、买卖及零售鞋类。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1001,HK1171,兖州煤业股份,兖州煤业股份有限公司,中国山东省,3222009.60,594758.60,68030,1998-04-01,--,,煤炭,从事煤炭采选、销售、矿区自有铁路货物运输、公路货物运输、港口经营、煤矿综合科学技术服务、甲醇生产销售。
1002,HK1172,勤达集团国际,勤达集团国际有限公司,开曼群岛,--,--,599,1996-06-12,--,,包装印刷,生产及销售印刷制品，发展及经营墓园，资讯科技业务，证券投资及买卖和物业投资。
1003,HK1173,威高国际,威高国际控股有限公司,开曼群岛,--,--,1900,1999-04-19,--,,化妆品,制造及销售女士时装及销售化妆品。
1004,HK1174,太平洋恩利,太平洋恩利国际控股有限公司,百慕达,--,--,5900,1994-10-03,--,,渔业,捕捞及鱼粉加工业务、渔船营运、环球采购、岸上加工及国际分销多种冷冻海产、买卖渔船燃料及提供船务与代理服务。
1005,HK1175,鲜驰达控股,鲜驰达控股集团有限公司,开曼群岛,--,--,117,2004-12-17,--,,包装食品,于中国提供送餐服务及生产及销售方便食品及相关业务。
1006,HK1176,珠光控股,珠光控股集团有限公司,百慕达,147360.00,436.40,181,1996-12-09,--,,房地产,在中华人民共和国从事物业发展、物业投资及物业租务活动。
1007,HK1177,中国生物制药,中国生物制药有限公司,开曼群岛,972523.20,196889.10,16821,2000-09-29,--,,中药,研发、生产和销售一系列中药现代制剂和西药药品。
1008,HK1178,汇银控股集团,汇银控股集团有限公司,开曼群岛,4682.40,-16760.20,87,2002-02-01,--,,化妆品,在中国，不包括香港及澳门生产及买卖天年素系列产品、保健食品、多功能制水机、其他健康产品及物业投资。
1009,HK1180,汇彩控股,汇彩控股有限公司,百慕达,56392.80,2632.10,1200,1997-01-20,--,,博彩,提供娱乐场管理服务及开发、销售及租赁电子博彩设备及系统。
1010,HK1181,唐宫中国,唐宫(中国)控股有限公司,开曼群岛,74018.70,5315.50,4500,2011-04-19,--,,餐饮,餐厅营运及食品生产。
1011,HK1182,胜龙国际,胜龙国际控股有限公司,百慕达,--,--,42,1994-10-17,--,,博彩,于中国制造奢侈品包装产品以及于澳门提供电子博彩设备服务。
1012,HK1184,S.A.S. Dragon,时捷集团有限公司,百慕达,1300873.60,17582.10,650,1994-10-17,--,,电子元器件,经销电子元件及半导体产品，物业投资及经销运动产品。
1013,HK1185,中国航天万源,中国航天万源国际(集团)有限公司,开曼群岛,1511.20,-17017.20,603,1997-08-11,--,,环保工程,制造及出售风力发电相关产品；出售电力；制造及分销升降机电机；开发、制造及分销通讯产品、智能交通系统产品、宽带系统、设备及配件；能源再生解决方案。
1014,HK1186,中国铁建,中国铁建股份有限公司,中国北京市,30898093.00,889388.10,259460,2008-03-13,--,,建筑工程,建筑工程承包、勘察设计及咨询、物流贸易、工业制造、房地产开发
1015,HK1187,汉唐国际控股,汉唐国际控股有限公司,百慕达,--,--,11,1999-06-08,--,,电子元器件,制造半导体及半导体，电子产品，部件及木材之买卖。
1016,HK1188,正道集团,正道集团有限公司,百慕达,3545.10,-18262.10,268,1995-04-06,--,,汽车制造,天然资源业务；开发混合动力汽车；开发先进电池材料；及开发高科技电动汽车。
1017,HK1189,珀丽酒店,珀丽酒店控股有限公司,百慕达,12756.80,-4529.20,644,1997-10-06,--,,酒店,经营酒店业务及证券买卖。
1018,HK1190,航标控股,航标控股有限公司,开曼群岛,26014.90,-15918.60,1423,2012-07-13,--,,家具家居,设计、开发、生产、营销及分销品牌卫浴洁具产品。
1019,HK1191,中国中石控股,中国中石控股有限公司,百慕达,5018.00,-455.80,21,1994-10-26,--,,房地产,于中国从事物业发展业务及金融服务。
1020,HK1192,泰山石化,泰山石化集团有限公司,百慕达,2576.90,-64897.80,117,1998-06-17,--,,气油设备与服务,造船及船舶维修业务，及钻油平台，FPSO、FSO、FSRU及FLNG的建造，维修，改造及升级，及上下游的油气业务。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1021,HK1193,华润燃气,华润燃气控股有限公司,百慕达,2384650.30,339685.80,45606,1994-11-07,--,,燃气,销售及分销气体燃料、燃气器具及相关产品，建设燃气管网，燃气接驳项目的设计、建设、顾问及管理，以及于天然气加气站销售气体燃料。
1022,HK1194,麦盛资本,麦盛资本集团有限公司,开曼群岛,30748.00,-16448.90,870,2004-10-12,--,,贵金属,于中国从事金矿开采、加工及黄金产品销售，在香港及中国从事提供金融服务业务，包括资产管理、证券经纪、融资及咨询服务。
1023,HK1195,京维集团,京维集团有限公司,开曼群岛,2121.60,-2078.20,38,2001-05-17,--,,房地产,物业发展及物业租赁;黄金开采。
1024,HK1196,伟禄集团,伟禄集团控股有限公司,百慕达,22030.80,34721.60,153,1997-01-20,--,,汽车零部件,提供印刷及相关服务；生产及销售签条、标签、裇衫衬底纸板及胶袋；分销及销售汽车零件；提供证券经纪服务及保证金融资；电子产品及电脑组件贸易；物业投资。
1025,HK1197,中国恒石,中国恒石基业有限公司,开曼群岛,64695.80,11016.40,1200,2015-12-21,--,,新能源,研发、生产及销售各种玻璃纤维织物。
1026,HK1198,皇朝家俬,皇朝家俬控股有限公司,开曼群岛,42208.60,1307.90,2418,2002-05-15,--,,家具家居,制造及售卖家俱。
1027,HK1199,中远海运港口,中远海运港口有限公司,百慕达,--,--,3314,1994-12-19,--,,港口运输,码头的管理及经营、集装箱租赁、管理及销售，及其相关业务。
1028,HK1200,美联集团,美联集团有限公司,百慕达,280342.10,15040.80,9567,1995-06-08,--,,房地产服务,于香港、中国及澳门提供物业代理服务。
1029,HK1201,天臣控股,天臣控股有限公司,百慕达,2872.30,19395.20,1917,1998-06-23,--,,包装印刷,印刷及生产包装产品；生产及销售锂离子动力电池及有关产品；新能源解决方案及销售相关设备、投资控股及进出口贸易。
1030,HK1202,成都普天电缆股份,成都普天电缆股份有限公司,中国成都市,30841.33,3212.07,998,1994-12-13,--,,通信设备,生产及销售各类通讯电缆、光纤、电缆套管。
1031,HK1203,广南,广南(集团)有限公司,香港,144258.90,6999.60,1114,1994-12-09,--,,钢铁,在香港及中国制造及销售马口铁及相关产品、物业租赁、鲜活食品代理与经销及食品贸易。
1032,HK1205,中信资源,中信资源控股有限公司,百慕达,214517.50,55534.60,340,1997-09-08,--,,其他金属矿物,制造及销售电解铝、煤、锰矿、原油，以及进出口不同商品产品。
1033,HK1206,同方泰德,同方泰德国际科技有限公司,新加坡,78692.60,6988.70,769,2011-10-27,--,,信息化服务,城市智慧节能一体化综合服务，包括智慧交通、智慧建筑与园区及智慧能源，提供智慧化能源管理产品、解决方案及综合服务。
1034,HK1207,上置集团,上置集团有限公司,百慕达,81064.90,9656.00,543,1999-12-10,--,,房地产,房地产开发，物业租赁及酒店经营。
1035,HK1208,五矿资源,五矿资源有限公司,香港,--,--,5093,1994-12-15,--,,其他金属矿物,在世界各地从事锌、铜、金、银及铅矿床之勘探、开发及开采业务。
1036,HK1210,克莉丝汀,克莉丝汀国际控股有限公司,开曼群岛,31297.10,-11555.50,4836,2012-02-23,--,,烘焙食品,于中国生产及销售烘焙产品。
1037,HK1211,比亚迪股份,比亚迪股份有限公司,中国广东省,5216286.70,87436.10,193842,2002-07-31,--,,汽车制造,包含传统燃油汽车及新能源汽车在内的汽车业务、手机部件及组装业务，以及二次充电电池及新能源业务
1038,HK1212,利福国际,利福国际集团有限公司,开曼群岛,211279.50,88285.40,655,2004-04-15,--,,百货商城,经营生活时尚百货店及其他零售业务以及物业发展及物业投资。
1039,HK1213,万保刚集团,万保刚集团有限公司,百慕达,--,--,414,2001-05-07,--,,电子元器件,买卖及分销电子零件、元件及仪器与电脑产品及手机配件，以及化妆品零售业务。
1040,HK1215,开源控股,开源控股有限公司,百慕达,14007.20,33247.20,9,1997-01-17,--,,酒店,在香港及法国经营酒店业务；在香港提供按揭贷款之融资业务。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1041,HK1216,中原银行,中原银行股份有限公司,中国河南省,--,188834.10,12956,2017-07-19,--,,银行,公司银行业务、零售银行业务及金融市场业务。
1042,HK1217,中国创新投资,中国创新投资有限公司,--,625.10,387.50,10,--,--,,--,投资主要位于香港及中国之上市及非上市公司。
1043,HK1218,永义国际,永义国际集团有限公司,百慕达,--,--,35,1995-01-30,--,,房地产,物业投资、物业发展、证券投资及贷款融资。
1044,HK1219,天喔国际,天喔国际控股有限公司,开曼群岛,--,--,3556,2013-09-17,--,,酒,生产及分销各类产品，包括酒精饮料、食品及零食、非酒精饮料以及其他快速消费品。
1045,HK1220,志道国际,志道国际(控股)有限公司,百慕达,--,--,30,1997-09-23,--,,铝,铝制品及原材料贸易和建设项目铝制品供应。
1046,HK1221,Sino Hotels,信和酒店(集团)有限公司,开曼群岛,31366.90,19512.75,340,1995-03-08,--,,酒店,酒店经营及管理；会所经营，以及投资控股。
1047,HK1222,Wang On Group,宏安集团有限公司,百慕达,--,--,1256,1995-02-28,--,,房地产,物业发展、物业投资及于香港及中国内地管理及分租中式街市以及提供融资。
1048,HK1223,新沣集团,新沣集团有限公司,百慕达,18813.00,3351.30,374,1995-03-01,--,,服装配套,提供金融服务、物业投资及持有物业、管理及经营于中国的奥特莱斯、提供商标特许权以及买卖和零售。
1049,HK1224,中渝置地,中渝置地控股有限公司,百慕达,30537.10,6834.10,90,1999-04-30,--,,房地产,物业发展及投资；以及财务投资。
1050,HK1225,隆成金融,隆成金融集团有限公司,百慕达,11894.20,-2303.70,270,1998-12-18,--,,综合,投资控股、提供金融服务包括证券经纪、展融资及借贷业务等。制造及销售儿童塑胶玩具及医疗保健产品如助行工具及其他医疗设备。
1051,HK1226,中国投融资,中国投融资集团有限公司,--,--,--,10,--,--,,--,证券买卖及投资控股。
1052,HK1227,国盛投资,国盛投资基金有限公司,--,849.20,-2100.20,30,--,--,,--,投资于上市及非上市公司。
1053,HK1228,奇峰国际,奇峰国际集团有限公司,开曼群岛,--,--,35,2001-09-18,--,,煤炭,木材采伐及买卖，煤炭及相关产品的销售，其他产品销售及天然资源产品销售。
1054,HK1229,南南资源,南南资源实业有限公司,百慕达,--,--,74,1995-04-13,--,,煤炭,开采及销售煤炭。
1055,HK1230,雅士利国际,雅士利国际控股有限公司,开曼群岛,150408.40,4129.80,2634,2010-11-01,--,,乳制品,制造及销售乳制品及营养品。
1056,HK1231,新矿资源,新矿资源有限公司,开曼群岛,11832.30,-8486.20,86,2011-07-04,--,,其他金属矿物,贸易业务、开采、加工及销售铁精粉以及辉绿岩及石材产品以及停车场业务。
1057,HK1232,金轮天地控股,金轮天地控股有限公司,开曼群岛,84758.50,24785.00,506,2013-01-16,--,,房地产,房地产开发及物业租赁。
1058,HK1233,时代中国控股,时代中国控股有限公司,开曼群岛,1047653.30,113530.80,6641,2013-12-11,--,,房地产,在中国从事物业开发、物业租赁及物业管理。
1059,HK1234,中国利郎,中国利郎有限公司,开曼群岛,129309.70,34066.60,1990,2009-09-25,--,,男装,于中国制造及批发品牌男装及相关配饰。
1060,HK1235,专业旅运,专业旅运(亚洲)企业有限公司,开曼群岛,--,--,557,2011-09-29,--,,旅游服务,提供有关销售机票、酒店住宿及其他旅游婚嫁相关产品的服务、提供旅行团、物业投资以及财资活动投资。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1061,HK1236,国农控股,国农控股有限公司,开曼群岛,--,--,512,1999-12-17,--,,软件开发,在中国研究、开发及分销软件、提供相关维护、使用及资讯服务，以及提供融资租赁服务。
1062,HK1237,中科生物,中科生物控股有限公司,开曼群岛,31398.90,1051.80,523,2012-07-06,--,,家具家居,生产及销售休闲家居用品、木屋及其相关部件及构件。
1063,HK1238,宝龙地产,宝龙地产控股有限公司,开曼群岛,928387.90,178360.50,8949,2009-10-14,--,,房地产,物业开发、物业投资、物业管理服务及其他物业开发相关服务。
1064,HK1239,Teamway Intl Gp,Teamway International Group Holdings Limited,开曼群岛,19654.30,-4333.20,636,2011-11-18,--,,包装印刷,设计、制造及销售包装产品及结构件；提供公司秘书及顾问服务；以及物业投资。
1065,HK1240,青建国际,青建国际控股有限公司,开曼群岛,513874.40,28275.00,2112,2012-10-18,--,,房地产,于香港及澳门从事地基及建筑业务，及于新加坡从事建筑及房地产开发业务。
1066,HK1241,双桦控股,双桦控股有限公司,开曼群岛,3186.10,219.80,166,2011-06-30,--,,汽车零部件,汽车空调部件的设计、开发、制造和销售业务和润滑油销售及汽车快修保养业务。
1067,HK1243,宏安地产,宏安地产有限公司,百慕达,--,--,92,2016-04-12,--,,房地产,物业发展及物业投资业务。
1068,HK1245,Niraku,"Niraku Gc Holdings, Inc.",日本,--,--,1487,2015-04-08,--,,博彩,于日本从事日式弹珠机及日式角子机游戏馆营运、酒店营运及餐厅营运。
